City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-13 10:59:36,-23.1203,-134.9692,74.19,76,94,9.6
1,Tupik,RU,2022-07-13 10:59:37,54.4253,119.9327,62.73,93,100,3.47
2,Barrow,US,2022-07-13 10:59:37,71.2906,-156.7887,37.42,87,100,10.36
3,Hosakote,IN,2022-07-13 10:59:38,14.2769,77.1699,70.93,87,100,25.68
4,Pala,TD,2022-07-13 10:59:38,9.3642,14.9046,77.25,74,100,3.96
5,Aklavik,CA,2022-07-13 10:59:38,68.2191,-135.0107,37.26,91,41,11.68
6,Atuona,PF,2022-07-13 10:59:39,-9.8,-139.0333,77.74,76,18,20.45
7,Luderitz,NA,2022-07-13 10:59:39,-26.6481,15.1594,66.99,46,0,20.74
8,Abdulino,RU,2022-07-13 10:59:40,53.7,53.6667,87.28,45,72,4.41
9,Puerto Ayora,EC,2022-07-13 10:59:40,-0.7393,-90.3518,69.55,89,79,5.99
10,Urumqi,CN,2022-07-13 10:59:41,43.801,87.6005,83.35,28,20,15.66
11,Rorvik,NO,2022-07-13 10:59:41,64.8621,11.2373,57.18,81,99,9.89
12,Faanui,PF,2022-07-13 10:59:41,-16.4833,-151.75,78.17,72,2,11.95
13,Hithadhoo,MV,2022-07-13 10:59:42,-0.6,73.0833,83.41,73,18,12.46
14,Punta Arenas,CL,2022-07-13 10:59:42,-53.15,-70.9167,39.31,87,75,24.16
15,Yeppoon,AU,2022-07-13 10:59:43,-23.1333,150.7333,56.98,59,0,10.02
16,Hilo,US,2022-07-13 10:54:47,19.7297,-155.09,78.28,97,100,3.44
17,Butaritari,KI,2022-07-13 10:59:43,3.0707,172.7902,82.42,78,92,17.2
18,Tazovskiy,RU,2022-07-13 10:59:44,67.4667,78.7,56.43,52,37,9.22
19,Busselton,AU,2022-07-13 10:59:44,-33.65,115.3333,59.59,59,56,4.41
20,Cape Town,ZA,2022-07-13 10:57:02,-33.9258,18.4232,61.11,73,75,19.57
21,Xining,CN,2022-07-13 10:59:45,36.6167,101.7667,77.81,38,91,12.06
22,Guerrero Negro,MX,2022-07-13 10:59:45,27.9769,-114.0611,64.9,88,88,12.5
23,Provideniya,RU,2022-07-13 10:59:46,64.3833,-173.3,50.63,85,94,3.09
24,Souillac,MU,2022-07-13 10:59:46,-20.5167,57.5167,75.58,64,40,16.11
25,Wanning,CN,2022-07-13 10:59:46,18.8003,110.3967,80.92,90,100,8.88
26,Arraial Do Cabo,BR,2022-07-13 10:59:47,-22.9661,-42.0278,73.26,88,40,10.36
27,Tual,ID,2022-07-13 10:59:47,-5.6667,132.75,79.65,81,97,24.4
28,Bluff,NZ,2022-07-13 10:59:16,-46.6,168.3333,42.8,90,100,16.78
29,Krasnoarmeysk,RU,2022-07-13 10:59:48,51.0239,45.6969,76.28,65,99,8.43
30,Olafsvik,IS,2022-07-13 10:59:48,64.8945,-23.7142,49.62,73,24,8.57
31,Kuusamo,FI,2022-07-13 10:59:49,65.9667,29.1833,69.84,78,100,8.05
32,Kodiak,US,2022-07-13 10:59:49,57.79,-152.4072,52.21,99,100,7.9
33,Tuktoyaktuk,CA,2022-07-13 10:59:50,69.4541,-133.0374,36.03,97,100,10.18
34,Saint-Philippe,RE,2022-07-13 10:59:50,-21.3585,55.7679,74.79,71,50,13.85
35,Hannibal,US,2022-07-13 10:59:51,39.7084,-91.3585,67.46,88,0,0.0
36,Buraydah,SA,2022-07-13 10:59:51,26.326,43.975,108.05,8,97,14.72
37,Grand Forks,US,2022-07-13 10:59:52,47.9417,-97.4337,54.79,94,0,2.68
38,Oranjemund,NA,2022-07-13 10:59:38,-28.55,16.4333,59.4,66,0,14.2
39,Itoman,JP,2022-07-13 10:59:36,26.1247,127.6694,86.4,84,75,6.91
40,Yellowknife,CA,2022-07-13 10:56:11,62.456,-114.3525,55.92,88,75,5.75
41,Codrington,AU,2022-07-13 10:59:53,-38.2667,141.9667,47.03,74,18,6.82
42,Iqaluit,CA,2022-07-13 10:59:53,63.7506,-68.5145,44.33,93,100,5.75
43,Kapaa,US,2022-07-13 10:59:53,22.0752,-159.319,77.32,91,100,16.11
44,Jamestown,US,2022-07-13 10:59:54,42.097,-79.2353,65.01,87,75,4.0
45,Vaini,TO,2022-07-13 10:59:54,-21.2,-175.2,75.36,94,75,6.91
